epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,133.435,0.54745,1.08746,0.96959,0.86553,0.5,0.66375,0.26123,1.6828,2.21956,2.32805,0.000397481,0.000397481,0.000397481
124,134.363,0.60838,1.16691,1.05152,0.86048,0.5,0.58083,0.27622,1.58716,2.24976,2.41282,0.000394435,0.000394435,0.000394435
125,135.243,0.68369,1.19149,1.18987,0.86048,0.5,0.58083,0.27622,1.58716,2.24976,2.41282,0.00039139,0.00039139,0.00039139
126,136.09,0.41463,1.15471,1.00378,0.86048,0.5,0.58083,0.27622,1.58716,2.24976,2.41282,0.000388345,0.000388345,0.000388345
127,136.957,0.58337,1.27909,1.04581,0.86048,0.5,0.58083,0.27622,1.58716,2.24976,2.41282,0.0003853,0.0003853,0.0003853
128,137.889,0.44973,1.22307,1.0179,0.73923,0.33333,0.41542,0.20952,1.34108,2.22735,2.33837,0.000382255,0.000382255,0.000382255
129,138.764,0.40921,1.07161,0.97936,0.73923,0.33333,0.41542,0.20952,1.34108,2.22735,2.33837,0.000379209,0.000379209,0.000379209
130,139.67,0.56132,1.11283,0.95386,0.73923,0.33333,0.41542,0.20952,1.34108,2.22735,2.33837,0.000376164,0.000376164,0.000376164
131,140.522,0.50624,1.14362,0.96968,0.73923,0.33333,0.41542,0.20952,1.34108,2.22735,2.33837,0.000373119,0.000373119,0.000373119
132,141.465,0.40946,1.11398,0.91778,0.7396,0.33333,0.44509,0.23008,1.43399,2.14068,2.40781,0.000370074,0.000370074,0.000370074
133,142.353,0.59676,1.11008,1.10664,0.7396,0.33333,0.44509,0.23008,1.43399,2.14068,2.40781,0.000367028,0.000367028,0.000367028
134,143.36,0.52721,1.12455,1.10021,0.7396,0.33333,0.44509,0.23008,1.43399,2.14068,2.40781,0.000363983,0.000363983,0.000363983
135,144.618,0.43279,1.08064,0.95697,0.7396,0.33333,0.44509,0.23008,1.43399,2.14068,2.40781,0.000360938,0.000360938,0.000360938
136,145.897,0.62096,1.27676,1.12534,0.86467,0.5,0.66375,0.36591,1.58525,1.93367,2.52459,0.000357893,0.000357893,0.000357893
